Quotazioni Immobiliari : Informazioni di Zona OMI - Semestre 2005/1 - elaborazione del 16-MAG-24
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona_Descr;Zona;LinkZona;Cod_tip_prev;Descr_tip_prev;Stato_prev;Microzona;
NORD-OVEST;PIEMONTE;AL;1006007;A2AG; ;A227;ALTAVILLA MONFERRATO;D;'MICROZONA N. 1 - ZONA AGRICOLA E ZONA DI ESPANSIONE';D1;AL00000151;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006007;A2AG; ;A227;ALTAVILLA MONFERRATO;R;'ZONA AGRICOLA';R1;AL00004163;129;Vigneto;;1;
NORD-OVEST;PIEMONTE;AL;1006008;A2AH; ;A245;ALZANO SCRIVIA;B;'MICROZONA N. 1 - CENTRO URBANO E ZONA DI ESPANSIONE';B1;AL00000168;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006008;A2AH; ;A245;ALZANO SCRIVIA;D;'MICROZONA N. 1 - ZONA AGRICOLA';D1;AL00000164;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006008;A2AH; ;A245;ALZANO SCRIVIA;R;'ZONA AGRICOLA';R1;AL00004164;101;Seminativo;;1;
NORD-OVEST;PIEMONTE;AL;1006009;A2AJ; ;A436;ARQUATA SCRIVIA;B;'MICROZONA N. 1 - CENTRO URBANO';B1;AL00000177;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006009;A2AJ; ;A436;ARQUATA SCRIVIA;C;'MICROZONA N. 2 - AREA NORD VERSO FRAZ. VARINELLA';C1;AL00003359;20;Abitazioni civili;N;2;
NORD-OVEST;PIEMONTE;AL;1006009;A2AJ; ;A436;ARQUATA SCRIVIA;C;'MICROZONA N. 3 - FRAZ. RIGOROSO E VOCEMOLA';C2;AL00003360;20;Abitazioni civili;N;3;
NORD-OVEST;PIEMONTE;AL;1006009;A2AJ; ;A436;ARQUATA SCRIVIA;D;'MICROZONA N. 4 - BORGATE ED AREE AGRICOLE';D1;AL00000179;20;Abitazioni civili;N;4;
NORD-OVEST;PIEMONTE;AL;1006009;A2AJ; ;A436;ARQUATA SCRIVIA;R;'ZONA AGRICOLA';R1;AL00004165;101;Seminativo;;4;
NORD-OVEST;PIEMONTE;AL;1006010;A2AK; ;A523;AVOLASCA;B;'MICROZONA N. 1 - CENTRO URBANO';B1;AL00003569;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006010;A2AK; ;A523;AVOLASCA;D;'MICROZONA N. 1 - ZONA AGRICOLA';D1;AL00000201;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006010;A2AK; ;A523;AVOLASCA;R;'ZONA AGRICOLA';R1;AL00004166;129;Vigneto;;1;
NORD-OVEST;PIEMONTE;AL;1006011;A2AP; ;A605;BALZOLA;B;'MICROZONA N. 1 - CENTRO URBANO';B1;AL00000213;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006011;A2AP; ;A605;BALZOLA;D;'MICROZONA N. 1 - ZONA AGRICOLA E DI ESPANSIONE';D1;AL00000215;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006011;A2AP; ;A605;BALZOLA;R;'ZONA AGRICOLA';R1;AL00004167;102;Seminativo Irriguo;;1;
NORD-OVEST;PIEMONTE;AL;1006012;A2AQ; ;A689;BASALUZZO;B;'MICROZONA N. 2 - CENTRO URBANO';B1;AL00000227;20;Abitazioni civili;N;2;
NORD-OVEST;PIEMONTE;AL;1006012;A2AQ; ;A689;BASALUZZO;D;'MICROZONA N. 1- AREA D'ESPANSIONE';D1;AL00000229;1;Ville e Villini;N;1;
NORD-OVEST;PIEMONTE;AL;1006012;A2AQ; ;A689;BASALUZZO;D;'MICROZONA N. 3 - ZONA AGRICOLA';D2;AL00000230;20;Abitazioni civili;N;3;
NORD-OVEST;PIEMONTE;AL;1006012;A2AQ; ;A689;BASALUZZO;R;'ZONA AGRICOLA';R1;AL00004168;101;Seminativo;;3;
NORD-OVEST;PIEMONTE;AL;1006013;A2AR; ;A708;BASSIGNANA;B;'MICROZONA N. 1 - CENTRO URBANO E FRAZ. MUGARONE';B1;AL00000246;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006013;A2AR; ;A708;BASSIGNANA;D;'MICROZONA N. 2 - ZONA AGRICOLA E FRAZ. FIONDI';D1;AL00000248;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006013;A2AR; ;A708;BASSIGNANA;R;'ZONA AGRICOLA';R1;AL00004169;102;Seminativo Irriguo;;2;
NORD-OVEST;PIEMONTE;AL;1006014;A2AS; ;A738;BELFORTE MONFERRATO;B;'MICROZONA N. 1 - CENTRO URBANO E ZONA DI ESPANSIONE';B1;AL00000264;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006014;A2AS; ;A738;BELFORTE MONFERRATO;D;'MICROZONA N. 2 - ZONA AGRICOLA';D1;AL00000260;20;Abitazioni civili;N;2;
NORD-OVEST;PIEMONTE;AL;1006014;A2AS; ;A738;BELFORTE MONFERRATO;R;'ZONA AGRICOLA';R1;AL00004176;129;Vigneto;;2;
NORD-OVEST;PIEMONTE;AL;1006015;A2AT; ;A793;BERGAMASCO;B;'MICROZONA N. 1 - CENTRO URBANO';B1;AL00003680;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006015;A2AT; ;A793;BERGAMASCO;D;'MICROZONA N. 1 - ZONA AGRICOLA';D1;AL00000274;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006015;A2AT; ;A793;BERGAMASCO;R;'ZONA AGRICOLA';R1;AL00004177;129;Vigneto;;1;
NORD-OVEST;PIEMONTE;AL;1006016;A2AV; ;A813;BERZANO DI TORTONA;B;'MICROZONA N. 1 - CENTRO URBANO';B1;AL00003572;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006016;A2AV; ;A813;BERZANO DI TORTONA;D;'MICROZONA N. 1 - ZONA AGRICOLA E ZONA DI ESPANSIONE';D1;AL00000287;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006016;A2AV; ;A813;BERZANO DI TORTONA;R;'ZONA AGRICOLA';R1;AL00004178;129;Vigneto;;1;
NORD-OVEST;PIEMONTE;AL;1006017;A2AY; ;A889;BISTAGNO;B;'MICROZONA N. 1 - CENTRO URBANO E ZONA DI ESPANSIONE';B1;AL00000299;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006017;A2AY; ;A889;BISTAGNO;D;'MICROZONA N. 2 - ZONA AGRICOLA';D1;AL00000301;20;Abitazioni civili;N;2;
NORD-OVEST;PIEMONTE;AL;1006017;A2AY; ;A889;BISTAGNO;R;'ZONA AGRICOLA';R1;AL00004179;129;Vigneto;;2;
NORD-OVEST;PIEMONTE;AL;1006018;A2AZ; ;A998;BORGHETTO DI BORBERA;B;'MICROZONE N. 1 -  CENTRO URBANO E ZONA DI ESPANSIONE';B1;AL00000313;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006018;A2AZ; ;A998;BORGHETTO DI BORBERA;D;'MICROZONA N. 2 - ZONA AGRICOLA VERSO STAZZANO';D1;AL00000315;20;Abitazioni civili;N;2;
NORD-OVEST;PIEMONTE;AL;1006018;A2AZ; ;A998;BORGHETTO DI BORBERA;D;'MICROZONA N. 3 - ZONA AGRICOLA';D2;AL00000316;20;Abitazioni civili;N;3;
NORD-OVEST;PIEMONTE;AL;1006018;A2AZ; ;A998;BORGHETTO DI BORBERA;R;'ZONA AGRICOLA';R1;AL00004180;129;Vigneto;;3;
NORD-OVEST;PIEMONTE;AL;1006019;A2BA; ;B029;BORGORATTO ALESSANDRINO;B;'MICROZONA N. 1 - CENTRO URBANO E ZONA DI ESPANSIONE';B1;AL00000331;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006019;A2BA; ;B029;BORGORATTO ALESSANDRINO;D;'MICROZONA N. 1  - ZONA AGRICOLA';D1;AL00000327;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006019;A2BA; ;B029;BORGORATTO ALESSANDRINO;R;'ZONA AGRICOLA';R1;AL00004182;102;Seminativo Irriguo;;1;
NORD-OVEST;PIEMONTE;AL;1006020;A2BB; ;B037;BORGO SAN MARTINO;B;'MICROZONA N. 1 - CENTRO URBANO E ZONA DI ESPANSIONE';B1;AL00000345;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006020;A2BB; ;B037;BORGO SAN MARTINO;D;'MICROZONA N. 1 - ZONA AGRICOLA';D1;AL00000341;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006020;A2BB; ;B037;BORGO SAN MARTINO;R;'ZONA AGRICOLA';R1;AL00004181;102;Seminativo Irriguo;;1;
NORD-OVEST;PIEMONTE;AL;1006021;A2BC; ;B071;BOSCO MARENGO;B;'MICROZONA N. 1 - CENTRO URBANO';B1;AL00000354;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006021;A2BC; ;B071;BOSCO MARENGO;D;'MICROZONA N. 1 - ZONA AGRICOLA E DI ESPANSIONE';D1;AL00000356;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006021;A2BC; ;B071;BOSCO MARENGO;R;'ZONA AGRICOLA';R1;AL00004183;101;Seminativo;;1;
NORD-OVEST;PIEMONTE;AL;1006022;A2BD; ;B080;BOSIO;B;'MICROZONA N. 1 - CENTRO URBANO';B1;AL00000368;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006022;A2BD; ;B080;BOSIO;D;'MICROZONA N. 2 - PONASSI - COSTA SANTO STEFANO';D1;AL00000370;20;Abitazioni civili;N;2;
NORD-OVEST;PIEMONTE;AL;1006022;A2BD; ;B080;BOSIO;E;'MICROZONA N. 3 - ZONA AGRICOLA';E1;AL00003367;20;Abitazioni civili;N;3;
NORD-OVEST;PIEMONTE;AL;1006022;A2BD; ;B080;BOSIO;R;'ZONA AGRICOLA';R1;AL00004184;129;Vigneto;;3;
NORD-OVEST;PIEMONTE;AL;1006023;A2BE; ;B109;BOZZOLE;B;'MICROZONA N. 1 - CENTRO URBANO';B1;AL00003683;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006023;A2BE; ;B109;BOZZOLE;D;'MICROZONA N. 1 - ZONA AGRICOLA';D1;AL00000387;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006023;A2BE; ;B109;BOZZOLE;R;'ZONA AGRICOLA';R1;AL00004185;102;Seminativo Irriguo;;1;
NORD-OVEST;PIEMONTE;AL;1006024;A2BG; ;B179;BRIGNANO-FRASCATA;B;'MICROZONA N. 1 - CENTRO URBANO';B1;AL00003575;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006024;A2BG; ;B179;BRIGNANO-FRASCATA;D;'MICROZONA N. 1 -  ZONA AGRICOLA E ZONA DI ESPANSIONE';D1;AL00000399;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006024;A2BG; ;B179;BRIGNANO-FRASCATA;R;'ZONA AGRICOLA';R1;AL00004186;129;Vigneto;;1;
NORD-OVEST;PIEMONTE;AL;1006025;A2BI; ;B311;CABELLA LIGURE;B;'MICROZONA N. 1 - CENTRO ABITATO';B1;AL00000416;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006025;A2BI; ;B311;CABELLA LIGURE;E;'MICROZONA N. 3 -  ZONA AGRICOLA - FRAZ. DOVA';E1;AL00003374;20;Abitazioni civili;N;3;
NORD-OVEST;PIEMONTE;AL;1006025;A2BI; ;B311;CABELLA LIGURE;E;'MICROZONA N. 2 - CAPANNE DI COSOLA';E2;AL00003375;20;Abitazioni civili;N;2;
NORD-OVEST;PIEMONTE;AL;1006025;A2BI; ;B311;CABELLA LIGURE;R;'ZONA AGRICOLA';R1;AL00004187;101;Seminativo;;3;
NORD-OVEST;PIEMONTE;AL;1006026;A2BJ; ;B453;CAMAGNA MONFERRATO;B;'MICROZONA N. 1 -CENTRO URBANO';B1;AL00003686;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006026;A2BJ; ;B453;CAMAGNA MONFERRATO;D;'MICROZONA N. 1 - ZONA AGRICOLA E ZONA DI ESPANSIONE';D1;AL00000431;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006026;A2BJ; ;B453;CAMAGNA MONFERRATO;R;'ZONA AGRICOLA';R1;AL00004188;129;Vigneto;;1;
NORD-OVEST;PIEMONTE;AL;1006027;A2BK; ;B482;CAMINO;B;'MICROZONA N. 1 - CENTRO URBANO';B1;AL00003689;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006027;A2BK; ;B482;CAMINO;D;'MICROZONA N. 1 - ZONA AGRICOLA E ZONA DI ESPANSIONE';D1;AL00000444;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006027;A2BK; ;B482;CAMINO;R;'ZONA AGRICOLA';R1;AL00004189;129;Vigneto;;1;
NORD-OVEST;PIEMONTE;AL;1006028;A2BL; ;B629;CANTALUPO LIGURE;B;'MICROZONA N . 1 - CENTRO URBANO';B1;AL00003692;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006028;A2BL; ;B629;CANTALUPO LIGURE;D;'MICROZONA N. 1 - ZONA AGRICOLA E ZONA DI ESPANSIONE';D1;AL00000457;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006028;A2BL; ;B629;CANTALUPO LIGURE;R;'ZONA AGRICOLA';R1;AL00004190;197;Bosco Ceduo;;1;
NORD-OVEST;PIEMONTE;AL;1006029;A2BM; ;B701;CAPRIATA D`ORBA;B;'MICROZONA N. 1 - CENTRO URBANO';B1;AL00000469;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006029;A2BM; ;B701;CAPRIATA D`ORBA;D;'MICROZONA N. 2 - FRAZ. PRATOALBORATO';D1;AL00000471;20;Abitazioni civili;N;2;
NORD-OVEST;PIEMONTE;AL;1006029;A2BM; ;B701;CAPRIATA D`ORBA;D;'MICROZONA N. 3 - ZONA AGRICOLA';D2;AL00000472;20;Abitazioni civili;N;3;
NORD-OVEST;PIEMONTE;AL;1006029;A2BM; ;B701;CAPRIATA D`ORBA;R;'ZONA AGRICOLA';R1;AL00004191;129;Vigneto;;3;
NORD-OVEST;PIEMONTE;AL;1006030;A2BN; ;B736;CARBONARA SCRIVIA;B;'MICROZONA N. 1 - CENTRO URBANO';B1;AL00000488;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006030;A2BN; ;B736;CARBONARA SCRIVIA;D;'MICROZONA N. 1  - ZONA AGRICOLA E DI ESPANSIONE';D1;AL00000490;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006030;A2BN; ;B736;CARBONARA SCRIVIA;R;'ZONA AGRICOLA';R1;AL00004192;101;Seminativo;;1;
NORD-OVEST;PIEMONTE;AL;1006031;A2BP; ;B765;CARENTINO;B;'MICROZONA N. 1 - CENTRO URBANO';B1;AL00003695;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006031;A2BP; ;B765;CARENTINO;D;'MICROZONA N. 1 - ZONA AGRICOLA E ZONA DI ESPANSIONE';D1;AL00000503;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006031;A2BP; ;B765;CARENTINO;R;'ZONA AGRICOLA';R1;AL00004193;101;Seminativo;;1;
NORD-OVEST;PIEMONTE;AL;1006032;A2BQ; ;B769;CAREZZANO;B;'MICROZONA N. 1 - CENTRO URBANO';B1;AL00003698;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006032;A2BQ; ;B769;CAREZZANO;D;'MICROZONA N. 1 - ZONA AGRICOLA';D1;AL00000516;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006032;A2BQ; ;B769;CAREZZANO;R;'ZONA AGRICOLA';R1;AL00004194;129;Vigneto;;1;
NORD-OVEST;PIEMONTE;AL;1006033;A2BS; ;B818;CARPENETO;B;'MICROZONA N. 1 - CENTRO URBANO E ZONA DI ESPANSIONE';B1;AL00000533;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006033;A2BS; ;B818;CARPENETO;D;'MICROZONA N. 1 - ZONA AGRICOLA';D1;AL00000529;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006033;A2BS; ;B818;CARPENETO;R;'ZONA AGRICOLA';R1;AL00004195;129;Vigneto;;1;
NORD-OVEST;PIEMONTE;AL;1006034;A2BT; ;B836;CARREGA LIGURE;B;'MICROZONA N. 1 - CENTRO URBANO';B1;AL00003578;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006034;A2BT; ;B836;CARREGA LIGURE;D;'MICROZONA N. 1 - ZONA AGRICOLA E ZONA DI ESPANSIONE';D1;AL00000543;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006034;A2BT; ;B836;CARREGA LIGURE;R;'ZONA AGRICOLA';R1;AL00004196;101;Seminativo;;1;
NORD-OVEST;PIEMONTE;AL;1006035;A2BU; ;B840;CARROSIO;B;'MICROZONA N. 1 - CENTRO URBANO';B1;AL00003701;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006035;A2BU; ;B840;CARROSIO;D;'MICROZONA N. 1 - ZONA AGRICOLA';D1;AL00000556;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006035;A2BU; ;B840;CARROSIO;R;'ZONA AGRICOLA';R1;AL00004197;101;Seminativo;;1;
NORD-OVEST;PIEMONTE;AL;1006036;A2BV; ;B847;CARTOSIO;B;'MICROZONA N. 1 - CENTRO URBANO';B1;AL00003704;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006036;A2BV; ;B847;CARTOSIO;D;'MICROZONA N. 1 - ZONA AGRICOLA E ZONA DI ESPANSIONE';D1;AL00000569;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006036;A2BV; ;B847;CARTOSIO;R;'ZONA AGRICOLA';R1;AL00004198;101;Seminativo;;1;
NORD-OVEST;PIEMONTE;AL;1006037;A2BW; ;B870;CASAL CERMELLI;B;'MICROZONA N. 1 - CENTRO URBANO E ZONA DI ESPANSIONE';B1;AL00000586;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006037;A2BW; ;B870;CASAL CERMELLI;D;'MICROZONA N. 1 - ZONA AGRICOLA';D1;AL00000582;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006037;A2BW; ;B870;CASAL CERMELLI;R;'ZONA AGRICOLA';R1;AL00004199;102;Seminativo Irriguo;;1;
NORD-OVEST;PIEMONTE;AL;1006038;A2BX; ;B882;CASALEGGIO BOIRO;B;'MICROZONA N. 1 - CENTRO URBANO E ZONA DI ESPANSIONE';B1;AL00000600;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006038;A2BX; ;B882;CASALEGGIO BOIRO;D;'MICROZONA N. 1 - ZONA AGRICOLA';D1;AL00000596;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006038;A2BX; ;B882;CASALEGGIO BOIRO;R;'ZONA AGRICOLA';R1;AL00004201;197;Bosco Ceduo;;1;
NORD-OVEST;PIEMONTE;AL;1006039;A2BY; ;B885;CASALE MONFERRATO;B;'MICROZONA N.1 - CENTRO URBANO';B1;AL00000609;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006039;A2BY; ;B885;CASALE MONFERRATO;C;'MICROZONA N. 2 - BORGO ALA (EX F1)';C1;AL00000611;20;Abitazioni civili;N;2;
NORD-OVEST;PIEMONTE;AL;1006039;A2BY; ;B885;CASALE MONFERRATO;D;'MICROZONA N.1 - ROTONDINO, SALITA S.ANNA, AGRO CALLORI';D1;AL00000613;20;Abitazioni civili;N;1;
NORD-OVEST;PIEMONTE;AL;1006039;A2BY; ;B885;CASALE MONFERRATO;D;'MICROZONA N.3 - VALENTINO, OLTREPONTE, OSPEDALE, PORTA MILANO, NUOVA CASALE';D2;AL00000614;20;Abitazioni civili;N;3;
